WELCOME 3 1289216    RTT: 153624 ns
WELCOME 3 351232    RTT: 136547 ns
WELCOME 3 575488    RTT: 908294 ns
WELCOME 3 1649664    RTT: 181907 ns
WELCOME 3 837632    RTT: 135964 ns
WELCOME 3 1086464    RTT: 128839 ns
WELCOME 3 794624    RTT: 133605 ns
WELCOME 3 356352    RTT: 145641 ns
WELCOME 3 635904    RTT: 124843 ns
WELCOME 3 1222656    RTT: 123523 ns
WELCOME 3 366592    RTT: 126147 ns
WELCOME 3 1682432    RTT: 131335 ns
WELCOME 3 901120    RTT: 124356 ns
WELCOME 3 1546240    RTT: 121508 ns
WELCOME 3 1547264    RTT: 118807 ns
WELCOME 3 616448    RTT: 858808 ns
