WELCOME 2 851968    RTT: 349072 ns
WELCOME 2 1717248    RTT: 334234 ns
WELCOME 2 1882112    RTT: 342719 ns
WELCOME 2 1339392    RTT: 327015 ns
WELCOME 2 474112    RTT: 325328 ns
WELCOME 2 1041408    RTT: 1808086 ns
WELCOME 2 1701888    RTT: 2853129 ns
WELCOME 2 830464    RTT: 5657241 ns
WELCOME 2 1711104    RTT: 6024773 ns
WELCOME 2 1774592    RTT: 7607449 ns
WELCOME 2 1317888    RTT: 1534221 ns
WELCOME 2 1343488    RTT: 770106 ns
WELCOME 2 452608    RTT: 360069 ns
WELCOME 2 768000    RTT: 348754 ns
WELCOME 2 659456    RTT: 352609 ns
WELCOME 2 1976320    RTT: 324278 ns
WELCOME 2 907264    RTT: 320022 ns
WELCOME 2 1347584    RTT: 332057 ns
WELCOME 2 1277952    RTT: 323793 ns
WELCOME 2 355328    RTT: 319379 ns
WELCOME 2 1904640    RTT: 329871 ns
WELCOME 2 495616    RTT: 344259 ns
WELCOME 2 724992    RTT: 352392 ns
WELCOME 2 1036288    RTT: 331727 ns
WELCOME 2 1258496    RTT: 1089208 ns
WELCOME 2 1872896    RTT: 324049 ns
WELCOME 2 1336320    RTT: 319866 ns
WELCOME 2 841728    RTT: 331873 ns
WELCOME 2 1740800    RTT: 368571 ns
WELCOME 2 866304    RTT: 335927 ns
WELCOME 2 1703936    RTT: 324525 ns
WELCOME 2 749568    RTT: 802427 ns
WELCOME 2 1358848    RTT: 325717 ns
WELCOME 2 311296    RTT: 313236 ns
WELCOME 2 1287168    RTT: 972171 ns
WELCOME 2 444416    RTT: 369883 ns
WELCOME 2 1262592    RTT: 320109 ns
WELCOME 2 1165312    RTT: 321880 ns
WELCOME 2 1028096    RTT: 329750 ns
WELCOME 2 649216    RTT: 317870 ns
WELCOME 2 1173504    RTT: 314745 ns
WELCOME 2 1488896    RTT: 1138376 ns
WELCOME 2 1532928    RTT: 327410 ns
WELCOME 2 1573888    RTT: 343531 ns
WELCOME 2 1199104    RTT: 317010 ns
WELCOME 2 310272    RTT: 313510 ns
WELCOME 2 1699840    RTT: 331752 ns
WELCOME 2 1807360    RTT: 311237 ns
WELCOME 2 433152    RTT: 312287 ns
WELCOME 2 704512    RTT: 330555 ns
WELCOME 2 2045952    RTT: 321277 ns
WELCOME 2 1027072    RTT: 310811 ns
WELCOME 2 448512    RTT: 354614 ns
WELCOME 2 1990656    RTT: 319517 ns
WELCOME 2 1009664    RTT: 322319 ns
WELCOME 2 711680    RTT: 328469 ns
WELCOME 2 415744    RTT: 321623 ns
WELCOME 2 994304    RTT: 1822228 ns
WELCOME 2 1851392    RTT: 369686 ns
WELCOME 2 600064    RTT: 326074 ns
WELCOME 2 590848    RTT: 400945 ns
WELCOME 2 1491968    RTT: 335094 ns
WELCOME 2 528384    RTT: 340314 ns
WELCOME 2 1285120    RTT: 367601 ns
WELCOME 2 930816    RTT: 318461 ns
WELCOME 2 1010688    RTT: 326720 ns
WELCOME 2 1458176    RTT: 325112 ns
WELCOME 2 1760256    RTT: 314409 ns
WELCOME 2 1266688    RTT: 317348 ns
WELCOME 2 1826816    RTT: 321942 ns
WELCOME 2 1674240    RTT: 339926 ns
WELCOME 2 1358848    RTT: 4168762 ns
WELCOME 2 491520    RTT: 341411 ns
WELCOME 2 1353728    RTT: 349512 ns
WELCOME 2 606208    RTT: 323188 ns
WELCOME 2 1839104    RTT: 317973 ns
WELCOME 2 1562624    RTT: 353082 ns
WELCOME 2 998400    RTT: 266524 ns
WELCOME 2 363520    RTT: 1090479 ns
WELCOME 2 899072    RTT: 369759 ns
WELCOME 2 1067008    RTT: 1031370 ns
WELCOME 2 1007616    RTT: 343932 ns
WELCOME 2 1570816    RTT: 3953168 ns
WELCOME 2 968704    RTT: 1237329 ns
WELCOME 2 336896    RTT: 342983 ns
WELCOME 2 651264    RTT: 374723 ns
WELCOME 2 1644544    RTT: 931693 ns
WELCOME 2 1354752    RTT: 360556 ns
WELCOME 2 1880064    RTT: 354038 ns
WELCOME 2 1256448    RTT: 330393 ns
WELCOME 2 843776    RTT: 317590 ns
WELCOME 2 1531904    RTT: 325112 ns
WELCOME 2 1030144    RTT: 6020463 ns
WELCOME 2 1430528    RTT: 2005335 ns
WELCOME 2 773120    RTT: 3413231 ns
WELCOME 2 748544    RTT: 354674 ns
WELCOME 2 1934336    RTT: 322111 ns
WELCOME 3 1783808    RTT: 290246 ns
WELCOME 3 1183744    RTT: 320178 ns
WELCOME 3 1476608    RTT: 311270 ns
WELCOME 3 847872    RTT: 336988 ns
WELCOME 3 1332224    RTT: 318488 ns
WELCOME 3 1270784    RTT: 326552 ns
WELCOME 3 1787904    RTT: 336487 ns
WELCOME 3 1833984    RTT: 322363 ns
WELCOME 3 1980416    RTT: 348738 ns
WELCOME 3 1613824    RTT: 331556 ns
WELCOME 3 734208    RTT: 318593 ns
WELCOME 3 338944    RTT: 328114 ns
